Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Instrument,CurrentPrice,ROCE,StockP/E,EPS,Earningsyield
506687,"Transpek Industry Ltd.,",TRANSPEK,TRANSPEK INDUSTRY LTD.-$,10,Commodity Chemicals,Equity,1982,7.44,22.1,89.7,6.36
506690,"Unichem Laboratories Ltd.,",UNICHEMLAB,UNICHEM LABORATORIES LTD.,2,Pharmaceuticals,Equity,298,1.68,,-0.16,0.36
506734,"Mysore Petro Chemicals Ltd.,",MYSORPETRO,MYSORE PETRO CHEMICALS LTD.-$,10,Commodity Chemicals,Equity,112,18.9,5.76,19.5,59.6
506767,"Alkyl Amines Chemicals Ltd.,",ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$,2,Specialty Chemicals,Equity,3600,41.3,97,39.5,1.31
506808,TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LIMITED,TUTIALKA,Tuticorin Alkali Chemicals And Fertilizers Ltd,10,Commodity Chemicals,Equity,,,,,
506820,AstraZeneca Pharma India Ltd.,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.,2,Pharmaceuticals,Equity,,,,,
506852,"Punjab Alkalies & Chemicals Ltd.,",PACL,PUNJAB ALKALIES & CHEMICALS LTD.,10,Commodity Chemicals,Equity,,,,,
506854,"TANFAC Industries Ltd.,",TANFACIND,TANFAC INDUSTRIES LTD.-$,10,Commodity Chemicals,Equity,,,,,
506858,Gujarat Petrosynthese Ltd.,GUJPETR,GUJARAT PETROSYNTHESE LTD.,10,Fibres & Plastics,Equity,42,-0.46,19.4,10.9,7.21
506863,Swadeshi Industries Leasing Co. Ltd,SWADEIN,SWADESHI INDUSTRIES LEASING CO.LTD.,10,Containers & Packaging,Equity,,,,,
506867,"Master Chemicals Ltd.,",MASCH,MASTER CHEMICALS LTD.,10,Textiles,Equity,,,,,
506879,Gujarat Themis Biosyn Ltd.,GUJTHEM,GUJARAT THEMIS BIOSYN LTD.,5,Pharmaceuticals,Equity,,,,,
506910,"Jaysynth Dyestuff (India) Ltd.,",JAYSYN,JAYSYNTH DYESTUFF (INDIA) LTD.,1,Specialty Chemicals,Equity,80.3,7.78,13.6,5.93,12.6
506919,Makers Laboratories Ltd.,MAKERSL,MAKERS LABORATORIES LTD.-$,10,Pharmaceuticals,Equity,216,,47.1,,
506935,"Continental Chemicals Ltd.,",CONTCHM,CONTINENTAL CHEMICALS LTD.,10,IT Software Products,Equity,,,,,
506943,J.B. Chemicals & Pharmaceuticals Lt,JBCHEPHARM,J.B.CHEMICALS & PHARMACEUTICALS LTD.,2,Pharmaceuticals,Equity,1750,32.8,28.7,61,4.67
506945,"Indo Gulf Industries  Ltd.,",IGLFXPL-B,INDO GULF INDUSTRIES LTD.,1,Specialty Chemicals,Equity,,,,,
506947,"Advance Petrochemicals Ltd.,",ADVPETR-B,ADVANCE PETROCHEMICALS LTD.,10,Commodity Chemicals,Equity,,,,,
506975,"Rajasthan Petro Synthetics Ltd.,",RAJSPTR,RAJASTHAN PETRO SYNTHETICS LTD.,10,Textiles,Equity,,,,,
506981,"Blue Chip Tex Industries Ltd.,",BLUECHIPT,BLUE CHIP TEX INDUSTRIES LTD.,10,Textiles,Equity,,,,,
