Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Instrument,CurrentPrice,ROCE,StockP/E,EPS,Earningsyield
500002,ABB India Limited,ABB,ABB India Limited,2,Heavy Electrical Equipment,Equity,2389,9.77,362,6.65,0.54
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,1,Oil Marketing & Distribution,Equity,220,16.6,25.9,8.51,5.35
500008,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,1,Auto Parts & Equipment,Equity,633,21.6,16.6,38.1,8.28
500009,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,10,Pharmaceuticals,Equity,44,18.2,4.97,7.01,23.3
500010,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,2,Housing Finance ,Equity,2569,9.23,22.4,115,5.74
500012,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,10,Commodity Chemicals,Equity,,,,,
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,5,Realty,Equity,15.2,6.47,,-3.75,9.1
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,10,Finance (including NBFCs),Equity,6.84,11.4,13.1,0.52,31.2
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,10,Hotels,Equity,,,,,
500020,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,2,Textiles,Equity,114,0.6,,-21.8,1.87
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,10,Hotels,Equity,81,-1.78,,-509,-1.74
500027,"Atul Limited.,",ATUL,ATUL LTD.,10,Specialty Chemicals,Equity,9922,24,43.4,228,3.1
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,10,Construction & Engineering,Equity,,,,,
500031,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,2,Household Appliances,Equity,1220,12.3,72,,
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,1,Sugar,Equity,16.6,-0.44,,-2.01,0.24
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,10,Cars & Utility Vehicles,Equity,1335,-5.27,,-59.3,-2.93
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,2,Finance (including NBFCs),Equity,7530,9.39,76.3,98.7,2.93
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,1,Sugar,Equity,453,16.5,21.9,20.1,6.15
500039,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,2,Auto Parts & Equipment,Equity,187,18.7,8.87,21,16.5
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,10,Paper & Paper Products,Equity,971,0.75,151,6.45,1.69
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,10,Sugar,Equity,,,,,
500042,BASF India Ltd,BASF,BASF INDIA LTD.,10,Specialty Chemicals,Equity,3190,,64.2,125,2.46
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,5,Footwear,Equity,2053,-0.06,977,1.84,0.5
500048,BEML Ltd,BEML,BEML LTD.,10,Commercial Vehicles,Equity,1829,4.55,74.8,24.5,2.01
500049,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,1,Defence,Equity,212,27.9,22.6,9.42,6.12
500052,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,1,Specialty Chemicals,Equity,148,86.2,5.58,26.5,26
500058,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,10,Iron & Steel/Interm.Products,Equity,,,,,
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,10,Other Elect.Equip./ Prod.,Equity,,,,,
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,2,Consumer Electronics,Equity,1004,12.7,65,15.4,2.75
500068,Disa India Ltd.,DISAQ,DISA INDIA LTD.,10,Industrial Machinery,Equity,7040,18.3,30.5,231,5.47
500069,BNK Capital Markets Ltd.,BNKCAP,BNK CAPITAL MARKETS LTD.,10,Other Financial Services,Equity,311,2.72,20,15.5,5.15
500074,"BPL Ltd.,",BPL,BPL LTD.,10,Consumer Electronics,Equity,67,,,-2.85,0.44
500078,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,5,Specialty Chemicals,Equity,753,24.4,27,27.8,5.01
500083,"Century Extrusions Ltd.,",CENTEXT,CENTURY EXTRUSIONS LTD.,1,Aluminium,Equity,,,,,
500084,"CESC Limited,",CESC,CESC LTD.,1,Electric Utilities,Equity,91,13,8.87,,
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,10,Fertilizers,Equity,477,20.2,12.9,43.4,10.1
500086,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,1,Auto Parts & Equipment,Equity,178,17,19,9.33,7.99
500087,"Cipla Ltd.,",CIPLA,CIPLA LTD.,2,Pharmaceuticals,Equity,882,17.6,27.5,,
500089,DIC India Ltd,DICIND,DIC INDIA LTD.,10,Specialty Chemicals,Equity,411,15.2,17.1,24,9.82
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,1,Other Financial Services,Equity,2925,37.4,52.2,56,2.56
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,2,Heavy Electrical Equipment,Equity,179,8.32,,-0.09,1.49
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,1,Personal Products,Equity,560,27.3,54.6,10.2,2.33
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,2,Sugar,Equity,476,14.5,14.2,33.7,8.49
500101,"Arvind Ltd.,",ARVIND,ARVIND LTD.,10,Textiles,Equity,142,4.62,25.9,5.38,8.33
500102,"Ballarpur Industries Ltd.,",BALLARPUR,BALLARPUR INDUSTRIES LTD.,2,Paper & Paper Products,Equity,2.5,2.79,,,
500103,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,2,Heavy Electrical Equipment,Equity,61.7,-9.69,,-5.01,-9.9
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,10,Refineries/ Petro-Products,Equity,325,19.4,4.93,64.5,14.8
500106,IFCI Ltd.,IFCI,IFCI LTD.,10,Financial Institutions,Equity,16.4,-5.84,,,
500108,"Mahanagar Telephone Nigam Ltd.,",MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,10,Telecom Services,Equity,31.4,-3.48,,-41,-1.64
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,10,Refineries/ Petro-Products,Equity,44.6,-1.34,,-3.35,0.47
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,10,Refineries/ Petro-Products,Equity,113,16.1,,-12.5,7.76
500111,Reliance Capital Limited,RELCAPITAL,RELIANCE CAPITAL LTD.,10,Finance (including NBFCs),Equity,16.3,-31.8,,-311,-18.8
500112,"State Bank Of India,",SBIN,STATE BANK OF INDIA,1,Banks,Equity,511,4.53,13.5,32.1,4.74
500113,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,10,Iron & Steel/Interm.Products,Equity,106,11.2,3.28,31.9,32.4
500114,Titan Company Limited,TITAN,Titan Company Limited,1,Other Apparels & Accessories,Equity,2564,13,130,,
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,10,Banks,Equity,50.6,4.45,24.6,2.05,4.96
500117,"DCW Ltd.,",DCW,DCW LTD.,2,Commodity Chemicals,Equity,45.8,1.23,,-0.28,0.8
500119,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,10,Sugar,Equity,400,13.7,12.3,32.6,11.3
500120,"Diamines & Chemicals Ltd.,",DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,10,Specialty Chemicals,Equity,281,,17.2,16.4,7.26
500123,Elantas Beck India Ltd,ELANTAS,ELANTAS BECK INDIA LTD.-$,10,Commodity Chemicals,Equity,,,,,
500124,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,5,Pharmaceuticals,Equity,4592,15.4,39,118,3.86
500125,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,1,Sugar,Equity,508,27.5,17.9,26.9,18
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,10,Pharmaceuticals,Equity,,,,,
500128,"Electrosteel Castings Ltd.,",ELECTCAST,ELECTROSTEEL CASTINGS LTD.,1,Other Industrial Products,Equity,44.5,8.27,10.1,4.4,16
500133,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,10,Other Industrial Goods,Equity,3439,90.8,98.6,34.8,1.56
500135,EPL LIMITED,EPL,EPL Ltd,2,Containers & Packaging,Equity,197,16.9,26.3,7.49,5.44
500136,"Ester Industries Ltd.,",ESTER,ESTER INDUSTRIES LTD.,5,Containers & Packaging,Equity,136,,8.49,16,15.1
500142,FGP Ltd,FGP,FGP LTD.,10,Finance (including NBFCs),Equity,7.96,6.5,5.12,1.56,7.31
500143,P.H. Capital Ltd.,PHCAP,PH CAPITAL LTD.,10,Comm.Trading  & Distribution,Equity,,,,,
500144,"Finolex Cables Ltd.,",FINCABLES,FINOLEX CABLES LTD.,2,Other Elect.Equip./ Prod.,Equity,511,19.6,14.3,35.7,9.69
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,10,Industrial Machinery,Equity,,,,,
500148,Uflex Limited,UFLEX,UFLEX LTD.,10,Containers & Packaging,Equity,533,15.3,4.48,119,18.6
500150,Foseco India Ltd,FOSECOIND,FOSECO INDIA LTD.,10,Commodity Chemicals,Equity,,,,,
500151,Golden Tobacco Ltd.,GOLDENTOBC,GOLDEN TOBACCO LTD.,10,Cigarettes-Tobacco Products,Equity,116,,32.5,4.5,5.14
500153,"Ganesh Benzoplast Ltd.,",GANESHBE,GANESH BENZOPLAST LTD.,1,Commodity Chemicals,Equity,101,26.4,52.8,1.88,8.28
500159,Metroglobal Limited,METROGLOBL,Metroglobal Limited,10,Paper & Paper Products,Equity,94.6,2.48,12.7,,
500160,GTL Ltd,GTL,GTL LTD.,10,Other Telecom Services,Equity,19,,37.4,22.9,0.43
500163,"Godfrey Phillips India Ltd.,",GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,2,Cigarettes-Tobacco Products,Equity,1129,15.4,13.5,83.7,9.5
500164,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,1,Packaged Foods,Equity,626,6.85,52.9,11.8,3.74
500165,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,1,Furniture-Furnishing-Paints,Equity,592,17.7,59.8,9.91,2.3
500166,"Goodricke Group Ltd.,",GOODRICKE,GOODRICKE GROUP LTD.,10,Tea & Coffee,Equity,,,,,
500168,"Goodyear India Ltd.,",GOODYEAR,GOODYEAR INDIA LTD.,10,Auto Tyres & Rubber Products,Equity,,,,,
500170,GTN Industries Limited,GTNINDS,GTN INDUSTRIES LTD.,10,Textiles,Equity,42.6,,,,
500171,GHCL Ltd.,GHCL,GHCL LTD.,10,Commodity Chemicals,Equity,441,16.1,9.52,46.4,13.6
500173,GFL LIMITED,GFLLIMITED,GFL Ltd,1,Holding Companies,Equity,69.2,-4.52,,-17.6,-8.04
500174,"Gujarat Lease Financing Limited,",GLFL,GUJARAT LEASE FINANCING LTD.,10,Finance (including NBFCs),Equity,3.75,-4.61,,-0.12,-1.28
500179,HCL Infosystems Ltd,HCL-INSYS,HCL INFOSYSTEMS LTD.,2,Computer Hardware,Equity,29,-37.5,,-0.68,-6.78
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,1,Banks,Equity,1509,6.31,23.2,65.2,4.76
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,2,2/3 Wheelers,Equity,2709,24.2,18.7,145,7.17
500183,HFCL LIMITED,HFCL,HFCL Ltd,1,Telecom Cables,Equity,87.8,19.7,35.9,2.55,5.24
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,1,Specialty Chemicals,Equity,62,4.12,41.1,1.51,3.53
500185,"Hindustan Construction Co. Ltd.,",HCC,HINDUSTAN CONSTRUCTION CO.LTD.,1,Construction & Engineering,Equity,15.6,11.4,5.05,3.93,49.5
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,10,Exploration & Production,Equity,227,4.52,68.7,4.36,1.5
500187,HSIL Limited,HSIL,HSIL LTD.,2,Containers & Packaging,Equity,342,7.03,32.7,9.69,5.71
500188,"Hindustan Zinc Ltd.,",HINDZINC,HINDUSTAN ZINC LTD.,2,Zinc,Equity,,,,,
500189,NXTDIGITAL LIMITED ,NXTDIGITAL,Nxtdigital Ltd,10,Broadcasting & Cable TV,Equity,415,3.08,,-16.7,1.19
500191,HMT Limited,HMT,HMT LTD.,10,Commercial Vehicles,Equity,28.8,,,-3.09,-2.52
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,10,Textiles,Equity,5.57,-2.7,,-1.63,-3.28
500193,HLV LIMITED,HLVLTD,HLV Ltd,2,Hotels,Equity,10.8,7.85,4.18,3.07,23.6
500199,IG Petrochemicals Ltd,IGPL,I G PETROCHEMICALS LTD.,10,Commodity Chemicals,Equity,735,29,8.1,,
500201,India Glycols Ltd,INDIAGLYCO,INDIA GLYCOLS LTD.,10,Commodity Chemicals,Equity,988,11.5,15.4,113,6.78
500202,"India Lease Devl. Ltd.,",INDLEASE,INDIA LEASE DEVELOPMENT LTD.,10,Finance (including NBFCs),Equity,,,,,
500206,Margo Finance Limited,MARGOFIN,Margo Finance Limited,10,Finance (including NBFCs),Equity,,,,,
500207,"Indo Rama Synthetics (India) Ltd.,",INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,10,Textiles,Equity,83.8,11.6,8.06,10.4,7.65
500209,Infosys Ltd,INFY,INFOSYS LTD.,5,IT Consulting & Software,Equity,1824,35.2,35.7,50.8,3.92
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,10,Industrial Machinery,Equity,,,,,
500211,Insilco Ltd,INSILCO,INSILCO LTD.,10,Other Industrial Goods,Equity,,,,,
500213,International Travel House Ltd,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,10,Travel Support Services,Equity,,,,,
500214,Ion Exchange (India) Ltd,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,10,Industrial Machinery,Equity,2190,38.3,21.3,103,7.59
500215,Agro Tech Foods Ltd,ATFL,AGRO TECH FOODS LTD.,10,Other Agricultural Products,Equity,989,10.1,106,9.29,1.38
500219,"Jain Irrigation Systems Ltd.,",JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,2,Plastic Products,Equity,45.6,-0.09,,0.98,5.27
500220,Jasch Industries Ltd.,JASCH,JASCH INDUSTRIES LTD.,10,Textiles,Equity,145,15.8,27.3,3.13,7.25
500223,JCT Ltd,JCTLTD,JCT LTD.,2.5,Textiles,Equity,6.79,-1.8,,1.56,-1.05
500227,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,10,Containers & Packaging,Equity,1118,32,5.58,206,22.3
500228,JSW Steel Limited,JSWSTEEL,JSW STEEL LTD.,1,Iron & Steel/Interm.Products,Equity,682,15.5,8.27,82.6,14.7
500231,Umang Dairies Limited,UMANGDAIR,UMANG DAIRIES LTD.,5,Packaged Foods,Equity,,,,,
500233,Kajaria Ceramics Ltd,KAJARIACER,KAJARIA CERAMICS LTD.,1,Furniture-Furnishing-Paints,Equity,1347,22.2,52.9,25.5,2.63
500234,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,10,Cement & Cement Products,Equity,,,,,
500235,Kalyani Steels Ltd,KSL,KALYANI STEELS LTD.,5,Iron & Steel/Interm.Products,Equity,342,22.6,5.58,61.4,38.6
500236,Kanel Industries Limited,KANELIND,Kanel Industries Limited,10,Comm.Trading  & Distribution,Equity,,,,,
500238,Whirlpool of India Ltd,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,10,Consumer Electronics,Equity,1847,18,69.2,50.4,1.96
500239,K.G.Denim Ltd,KGDENIM,KG DENIM LTD.,10,Textiles,Equity,69.8,3.84,,,
500240,"Kinetic Engineering Ltd.,",KINETICENG,KINETIC ENGINEERING LTD.,10,2/3 Wheelers,Equity,90.6,,,,-19.9
500241,"Kirloskar Brothers Ltd.,",KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,2,Industrial Machinery,Equity,369,15.3,17.1,21.6,7.51
500243,Kirloskar Industries Ltd,KIRLOSIND,Kirloskar Industries Ltd,10,Industrial Machinery,Equity,1575,23.7,5.56,285,40.8
500245,Kirloskar Ferrous Industries Ltd.,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,5,Iron & Steel/Interm.Products,Equity,,,,,
500246,Envair Electrodyne Ltd.,ENVAIREL,ENVAIR ELECTRODYNE LTD.,10,Industrial Machinery,Equity,,,,,
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,5,Banks,Equity,1893,6.49,37.6,50.4,3.83
500248,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,Krishna Filament Industries Ltd,10,Plastic Products,Equity,,,,,
500249,KSB LIMITED,KSB,KSB Ltd,10,Industrial Machinery,Equity,1264,17.5,31,40.8,5.42
500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,10,Auto Parts & Equipment,Equity,665,19.6,10.3,70.9,14.1
500251,Trent Ltd [Lakme Ltd],TRENT,TRENT LTD.,1,Specialty Retail,Equity,1170,2.02,521,,
500252,"Lakshmi Machine Works Ltd.,",LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,10,Industrial Machinery,Equity,10720,5.08,99.3,87.3,1.68
500253,Lic Housing Finance Ltd.,LICHSGFIN,LIC HOUSING FINANCE LTD.,2,Housing Finance ,Equity,367,8.13,13.2,29.9,6.95
500257,Lupin Ltd,LUPIN,LUPIN LTD.,2,Pharmaceuticals,Equity,940,9.42,,-14.4,-0.62
500259,"Lyka Labs Ltd.,",LYKALABS,LYKA LABS LTD.,10,Pharmaceuticals,Equity,234,9.8,11.3,19.2,11.1
500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Limited,1,Cement & Cement Products,Equity,952,14.6,20.3,47,4.85
500264,"Mafatlal Industries Ltd.,",MAFATIND,MAFATLAL INDUSTRIES LTD.-$,10,Textiles,Equity,239,-9.48,83,-19.4,8.26
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,5,Iron & Steel Products,Equity,550,9.41,10.9,27.2,10
500266,"Maharashtra Scooters Ltd.,",MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,10,Investment Companies,Equity,,,,,
500267,"Majestic Auto Ltd.,",MAJESAUT,MAJESTIC AUTO LTD.-$,10,2/3 Wheelers,Equity,135,8.03,7.91,17.1,14.1
500268,"Manali Petrochemicals Ltd.,",MANALIPETC,MANALI PETROCHEMICAL LTD.,5,Petrochemicals,Equity,115,49,5.14,21.8,33.5
500271,Max Financial Services Limited,MFSL,Max Financial Services Ltd,2,Life Insurance,Equity,972,21.6,112,,
500274,Mesco Pharmaceuticals Ltd.,MESPHAR-B,MESCO PHARMACEUTICALS LTD.,10,Pharmaceuticals,Equity,,,,,
500277,Mid India Industries Limited,MIDINDIA,MID INDIA INDUSTRIES LTD.,10,Textiles,Equity,,,,,
500279,Mirc Electronics Ltd,MIRCELECTR,MIRC ELECTRONICS LTD.,1,Consumer Electronics,Equity,31.8,-3.49,,-0.99,-1.33
500280,"Century Enka Ltd.,",CENTENKA,CENTURY ENKA LTD.,10,Textiles,Equity,,,,,
500284,Lords Chloro Alkali Ltd,LORDSCHLO,LORDS CHLORO ALKALI LTD.,10,Commodity Chemicals,Equity,,,,,
500285,SpiceJet Limited,SPICEJET,SPICEJET LTD.,10,Airlines,Equity,62.6,,,-27,-8.49
500288,Morepen Laboratories Ltd.,MOREPENLAB,MOREPEN LABORATORIES LTD.,2,Pharmaceuticals,Equity,53,21.5,25,,
500290,"M.R.F. Ltd.,",MRF,MRF LTD.,10,Auto Tyres & Rubber Products,Equity,73728,13.7,25.9,2847,5.65
500292,HeidelbergCement  India Limited,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,10,Cement & Cement Products,Equity,,,,,
500294,NCC Limited,NCC,NCC Limited,2,Construction & Engineering,Equity,76,11.6,13.7,5.77,14.7
500295,Vedanta Limited,VEDL,Vedanta Limited,1,Aluminium,Equity,327,19.7,6.36,50,20.1
500296,"Nahar Spinning Mills Ltd.,",NAHARSPING,NAHAR SPINNING MILLS LTD.,5,Textiles,Equity,,,,,
500298,National Peroxide Ltd.,NATPEROX,NATIONAL PEROXIDE LTD.,10,Commodity Chemicals,Equity,1811,3.75,86.1,-4.75,2.03
500300,"Grasim Industries Ltd.,",GRASIM,GRASIM INDUSTRIES LTD.,2,Cement & Cement Products,Equity,1831,11.2,19.6,93.2,9.9
500302,Piramal Enterprises Limited,PEL,PIRAMAL ENTERPRISES LTD.,2,Other Financial Services,Equity,2581,10.6,48.4,49.4,6.25
500304,"NIIT Ltd.,",NIITLTD,NIIT LTD.,2,IT Training Services,Equity,496,8.27,34.6,14,4.04
500306,Jaykay Enterprises Limited,JAYKAY,JAYKAY ENTERPRISES LTD.,1,Finance (including NBFCs),Equity,62.1,12.2,8.11,,
500307,"Nirlon Limited,",NIRLON,NIRLON LTD.,10,Misc.Commercial Services,Equity,,,,,
500312,Oil And Natural Gas Corporation Ltd,ONGC,Oil and Natural Gas Corporation Ltd,5,Exploration & Production,Equity,167,9.95,6.09,28.6,13.8
500313,Oil Country Tubular Ltd.,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,10,Oil Equipment & Services,Equity,,,,,
500314,"Oriental Hotels Ltd.,",ORIENTHOT,ORIENTAL HOTELS LTD.,1,Hotels,Equity,60.3,-7.33,,-2.58,-1.93
500317,"Oswal Agro Mills Ltd.,",OSWALAGRO,OSWAL AGRO MILLS LTD.,10,Investment Companies,Equity,33.9,1.44,23.2,1.46,3.29
500319,Indian Sucrose Ltd.,INDSUCR,INDIAN SUCROSE LTD.,10,Sugar,Equity,,,,,
500325,Reliance Industries Ltd,RELIANCE,RELIANCE INDUSTRIES LTD.,10,Integrated Oil & Gas,Equity,2477,8.19,32.4,82.5,4.31
500327,Pil Italica Lifestyle Limited,PILITA,Pil Italica Lifestyle Ltd,1,Plastic Products,Equity,,,,,
500330,Raymond Limited,RAYMOND,RAYMOND LTD.,10,Textiles,Equity,789,-3.76,273,-3.77,4.35
500331,Pidilite Industries Ltd.,PIDILITIND,PIDILITE INDUSTRIES LTD.,1,Specialty Chemicals,Equity,2676,29.4,101,26.4,1.35
500333,"Pix Transmissions Ltd.,",PIXTRANS,PIX TRANSMISSIONS LTD.,10,Auto Tyres & Rubber Products,Equity,1136,27.6,20.2,,
500335,Birla Corporation Ltd.,BIRLACORPN,BIRLA CORPORATION LTD.,10,Cement & Cement Products,Equity,1498,11.6,17.1,81.1,6.63
500336,"Surya Roshni Ltd.,",SURYAROSNI,SURYA ROSHNI LTD.,10,Iron & Steel/Interm.Products,Equity,520,12.8,14.5,36,9.3
500337,Prime Securities Ltd.,PRIMESECU,PRIME SECURITIES LTD.,5,Other Financial Services,Equity,116,21.4,28.4,5.69,5.02
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,10,Cement & Cement Products,Equity,153,11.4,28,5.46,4.87
500339,Rain Industries Limited,RAIN,Rain Industries Ltd,2,Petrochemicals,Equity,233,9.85,7.96,29.3,13.3
500343,AMJ LAND HOLDINGS LIMITED,AMJLAND,AMJ Land Holdings Ltd,2,Realty,Equity,35.6,4.54,84.7,0.42,2.46
500346,Punjab Communications Limited,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,10,Telecom Equipment,Equity,41.4,-2.72,,,
500350,RSWM Limited,RSWM,RSWM LTD.,10,Textiles,Equity,524,3.89,6.72,78,14.7
500354,"Rajshree Sugars & Chemicals Ltd.,",RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.,10,Sugar,Equity,33,11,4.15,9.42,12.7
500355,Rallis India Ltd,RALLIS,RALLIS INDIA LTD.,1,Agrochemicals,Equity,277,18.2,29.1,9.59,4.67
500356,Shree Rama Newsprint Limited,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,10,Paper & Paper Products,Equity,,,,,
500357,"Rama Paper Mills Limited,",RAMAPPR-B,RAMA PAPER MILLS LTD.,10,Paper & Paper Products,Equity,,,,,
500358,Rama Petrochemicals Ltd,RAMAPETRO,RAMA PETROCHEMICALS LTD.,10,Finance (including NBFCs),Equity,4.98,,,-1.17,-4.19
500360,"Rapicut Carbides Ltd.,",RAPICUT,RAPICUT CARBIDES LTD.,10,Industrial Machinery,Equity,,,,,
500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL,Welspun Specialty Solutions Ltd,6,Iron & Steel/Interm.Products,Equity,,,,,
500366,"Rolta India Ltd.,",ROLTA,ROLTA INDIA LTD.,10,Internet Software & Services,Equity,8.1,3.83,,-76.7,2.02
500367,Rubfila International Ltd.,RUBFILA,RUBFILA INTERNATIONAL LTD.,5,Auto Tyres & Rubber Products,Equity,120,26,14,8.66,9.73
500368,Ruchi Soya Industries ltd.,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.,2,Edible Oils,Equity,876,1.47,,-1.16,0.35
500370,Salora International Limited,SALORAINTL,SALORA INTERNATIONAL LTD.,10,Comm.Trading  & Distribution,Equity,50,3.11,,-5.84,3.67
500378,Jindal Saw Ltd.,JINDALSAW,JINDAL SAW LTD.,2,Iron & Steel Products,Equity,112,8.02,6.87,16.3,14.8
500380,JK Lakshmi Cement Limited,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,5,Cement & Cement Products,Equity,604,20.2,13.9,,
500387,"Shree Cements Ltd.,",SHREECEM,SHREE CEMENT LTD.,10,Cement & Cement Products,Equity,26072,19.1,35.9,727,3.78
500388,Shree Krishna Paper Mills & Industr,SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,10,Paper & Paper Products,Equity,,,,,
500390,Reliance Infrastructure Ltd,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,10,Electric Utilities,Equity,102,9.02,,-13.3,14.7
500400,Tata Power Co. Ltd,TATAPOWER,TATA POWER CO.LTD.,1,Electric Utilities,Equity,249,7.36,50.9,4.55,5.24
